ax:320	ay:3372	ax:15796	gx:54	gy:-191	gz:-112
12:04:03.024 -> a/g:	ax:92	ay:3740	ax:15760	gx:18	gy:125	gz:-184
12:04:03.024 -> a/g:	ax:-168	ay:3320	ax:15272	gx:92	gy:-70	gz:-101
12:04:03.062 -> a/g:	ax:208	ay:3240	ax:15684	gx:-60	gy:302	gz:-121
12:04:03.062 -> a/g:	ax:92	ay:3376	ax:15480	gx:7	gy:-106	gz:-125
12:04:03.062 -> a/g:	ax:16	ay:3044	ax:15416	gx:7	gy:233	gz:-141
12:04:03.096 -> a/g:	ax:84	ay:3224	ax:15700	gx:-7	gy:-3	gz:-128
12:04:03.096 -> a/g:	ax:68	ay:3280	ax:15256	gx:37	gy:-10	gz:-142
12:04:03.133 -> a/g:	ax:216	ay:2952	ax:15780	gx:-29	gy:238	gz:-160
12:04:03.133 -> a/g:	ax:384	ay:3064	ax:15276	gx:-32	gy:-138	gz:-196
12:04:03.133 -> a/g:	ax:-84	ay:2796	ax:15252	gx:98	gy:76	gz:-209
12:04:03.168 -> a/g:	ax:560	ay:2800	ax:16184	gx:-90	gy:404	gz:-157
12:04:03.168 -> a/g:	ax:-44	ay:3112	ax:15080	gx:-41	gy:-403	gz:-107
12:04:03.168 -> a/g:	ax:-1252	ay:2948	ax:14292	gx:293	gy:-155	gz:-414
12:04:03.202 -> a/g:	ax:308	ay:1600	ax:15340	gx:274	gy:872	gz:-478
12:04:03.202 -> a/g:	ax:-272	ay:3260	ax:18804	gx:-837	gy:-602	gz:208
12:04:03.235 -> a/g:	ax:-1020	ay:3496	ax:12584	gx:837	gy:79	gz:-484
12:04:03.235 -> a/g:	ax:624	ay:3152	ax:15520	gx:243	gy:926	gz:-214
12:04:03.235 -> a/g:	ax:96	ay:4076	ax:16444	gx:-319	gy:21	gz:-6
12:04:03.270 -> a/g:	ax:-468	ay:3500	ax:15032	gx:30	gy:-115	gz:-136
12:04:03.270 -> a/g:	ax:-504	ay:3524	ax:15564	gx:16	gy:339	gz:-200
12:04:03.303 -> a/g:	ax:84	ay:3592	ax:15280	gx:128	gy:-73	gz:-150
12:04:03.303 -> a/g:	ax:220	ay:3452	ax:15212	gx:29	gy:264	gz:-166
12:04:03.303 -> a/g:	ax:88	ay:3404	ax:15572	gx:-63	gy:112	gz:-135
12:04:03.336 -> a/g:	ax:-332	ay:3200	ax:15524	gx:-66	gy:264	gz:-173
12:04:03.336 -> a/g:	ax:-128	ay:3224	ax:15044	gx:35	gy:-93	gz:-167
12:04:03.370 -> a/g:	ax:92	ay:3264	ax:15576	gx:-23	gy:349	gz:-131
12:04:03.370 -> a/g:	ax:-36	ay:3048	ax:15276	gx:116	gy:-255	gz:-158
12:04:03.370 -> a/g:	ax:128	ay:2984	ax:15380	gx:-76	gy:441	gz:-198
12:04:03.403 -> a/g:	ax:16	ay:3192	ax:15836	gx:-63	gy:76	gz:-178
12:04:03.403 -> a/g:	ax:-232	ay:2796	ax:15416	gx:54	gy:111	gz:-161
12:04:03.436 -> a/g:	ax:92	ay:2812	ax:15648	gx:22	gy:200	gz:-170
12:04:03.436 -> a/g:	ax:-92	ay:3156	ax:15300	gx:-16	gy:-130	gz:-136
12:04:03.436 -> a/g:	ax:-4	ay:2920	ax:16028	gx:70	gy:35	gz:-185
12:04:03.472 -> a/g:	ax:40	ay:3472	ax:14792	gx:12	gy:-165	gz:-131
